,PBLH_24,PBLH_48,PBLH_avg_24,PBLH_avg_48,Raw,Filtered,Raw_mean,Filt_mean
2015-12-01 00:00:00,0.000,971.577,0.000,1059.804,2020.000,2020.000,,
2015-12-01 01:00:00,101.725,335.786,104.662,179.144,1920.000,1920.000,2157.143,2157.143
2015-12-01 02:00:00,131.927,85.623,74.082,101.526,1820.000,1820.000,1525.714,1525.714
2015-12-01 03:00:00,105.719,61.861,57.011,81.045,1860.000,1860.000,1851.429,1851.429
2015-12-01 04:00:00,59.337,100.200,33.673,108.101,1880.000,1880.000,1881.429,1881.429
2015-12-01 05:00:00,19.670,93.423,19.630,84.850,1790.000,1790.000,1804.286,1804.286
2015-12-01 06:00:00,19.644,79.026,32.155,60.842,1800.000,1800.000,1774.286,1774.286
2015-12-01 07:00:00,19.607,66.496,29.226,56.642,1720.000,1720.000,1724.286,1724.286
2015-12-01 08:00:00,19.567,114.628,24.009,80.449,1700.000,1700.000,1514.286,1514.286
2015-12-01 09:00:00,19.550,73.754,23.893,53.200,410.000,410.000,1000.714,1000.714
2015-12-01 10:00:00,19.531,19.620,23.821,51.829,260.000,260.000,942.857,942.857
2015-12-01 11:00:00,19.486,19.559,25.652,24.539,1260.000,1260.000,718.571,718.571
2015-12-01 12:00:00,19.461,19.551,29.241,19.513,550.000,550.000,664.286,664.286
2015-12-01 13:00:00,19.446,70.753,34.733,34.748,810.000,810.000,667.143,667.143
2015-12-01 14:00:00,41.141,56.600,39.134,52.571,1160.000,1160.000,915.714,915.714
2015-12-01 15:00:00,189.392,244.673,173.842,257.323,370.000,370.000,431.429,
2015-12-01 16:00:00,358.360,454.865,351.223,456.379,290.000,,310.000,
2015-12-01 17:00:00,469.907,726.618,477.997,723.421,1505.000,,546.429,
2015-12-01 18:00:00,644.733,1106.496,642.455,1072.893,1700.000,,1010.000,
2015-12-01 19:00:00,898.773,1300.386,919.570,1286.517,1010.000,,1255.714,
2015-12-01 20:00:00,1144.886,1558.469,1142.337,1543.800,1150.000,,1564.286,
2015-12-01 21:00:00,1383.273,1906.836,1352.784,1862.128,2320.000,2320.000,2500.000,
2015-12-01 22:00:00,1528.086,2097.533,1462.965,2128.861,2590.000,2590.000,2627.857,2627.857
2015-12-01 23:00:00,1601.080,2281.375,1503.850,2274.969,2680.000,2680.000,2762.857,
2015-12-02 00:00:00,0.000,980.521,0.000,979.330,2650.000,2650.000,2647.143,
2015-12-02 01:00:00,134.728,779.107,143.862,745.987,2580.000,2580.000,2567.143,2567.143
2015-12-02 02:00:00,19.751,681.827,76.272,607.631,2540.000,2540.000,2044.286,2044.286
2015-12-02 03:00:00,77.154,462.215,54.811,422.901,490.000,490.000,1097.143,
2015-12-02 04:00:00,61.159,466.642,48.296,424.170,2355.000,2355.000,1706.429,
2015-12-02 05:00:00,19.674,417.038,24.080,391.713,1585.000,1585.000,1291.429,1291.429
2015-12-02 06:00:00,19.668,397.672,29.247,371.172,450.000,450.000,584.286,584.286
2015-12-02 07:00:00,19.668,366.080,28.046,395.461,320.000,320.000,320.000,320.000
2015-12-02 08:00:00,19.635,469.361,19.586,409.646,1505.000,1505.000,982.143,982.143
2015-12-02 09:00:00,19.550,429.112,19.521,421.710,760.000,760.000,865.714,865.714
2015-12-02 10:00:00,19.546,459.928,19.506,413.346,830.000,830.000,865.000,865.000
2015-12-02 11:00:00,68.388,400.195,43.995,387.853,1345.000,1345.000,869.286,869.286
2015-12-02 12:00:00,19.488,414.436,24.829,401.237,1330.000,1330.000,1108.571,1108.571
2015-12-02 13:00:00,19.461,399.310,28.993,391.608,1300.000,1300.000,1208.571,1208.571
2015-12-02 14:00:00,19.465,411.476,30.507,414.871,1350.000,1350.000,1362.857,1362.857
2015-12-02 15:00:00,204.381,468.616,203.668,443.800,1360.000,1360.000,1365.714,1365.714
2015-12-02 16:00:00,405.515,520.306,407.203,501.736,320.000,320.000,457.143,457.143
2015-12-02 17:00:00,611.895,536.828,627.327,546.384,580.000,580.000,602.857,602.857
2015-12-02 18:00:00,961.041,987.422,960.979,877.081,1280.000,1280.000,1772.857,1772.857
2015-12-02 19:00:00,1255.406,1072.734,1237.591,1028.206,2780.000,2780.000,2377.857,2377.857
2015-12-02 20:00:00,1447.532,1173.410,1460.977,1149.147,2650.000,2650.000,2404.286,2404.286
2015-12-02 21:00:00,1866.131,1434.196,1808.272,1369.807,2190.000,2190.000,2105.714,
2015-12-02 22:00:00,2136.647,1454.839,2076.198,1377.942,2090.000,,2232.143,
2015-12-02 23:00:00,2281.130,1394.297,2209.812,1297.461,2050.000,,2317.143,
2015-12-03 00:00:00,0.000,633.487,0.000,677.455,2160.000,,2165.714,
2015-12-03 01:00:00,177.393,528.040,159.271,493.397,2220.000,,2247.143,
2015-12-03 02:00:00,601.026,522.685,368.804,479.651,2490.000,,2035.714,
2015-12-03 03:00:00,374.740,455.384,369.232,417.336,1600.000,,1430.000,
2015-12-03 04:00:00,396.557,455.072,312.721,426.088,830.000,,918.571,
2015-12-03 05:00:00,302.378,409.470,284.658,412.831,1220.000,,1165.714,
2015-12-03 06:00:00,324.684,441.262,287.704,405.983,710.000,,734.286,
2015-12-03 07:00:00,357.589,367.881,305.517,360.895,910.000,,900.000,
2015-12-03 08:00:00,250.788,472.149,317.068,425.215,1020.000,1020.000,888.571,
2015-12-03 09:00:00,350.584,477.694,309.985,425.489,800.000,,734.286,
2015-12-03 10:00:00,241.608,461.924,239.642,418.388,630.000,,625.714,
2015-12-03 11:00:00,210.719,519.753,229.373,452.982,580.000,,587.143,
2015-12-03 12:00:00,256.686,604.678,248.738,495.920,630.000,630.000,554.286,
2015-12-03 13:00:00,348.095,601.535,299.678,507.039,480.000,,501.429,
2015-12-03 14:00:00,361.367,519.690,327.602,515.787,600.000,,610.000,
2015-12-03 15:00:00,428.010,537.100,420.345,558.140,845.000,845.000,730.714,
2015-12-03 16:00:00,482.036,640.369,437.175,589.439,1100.000,1100.000,1062.143,
2015-12-03 17:00:00,473.914,707.729,486.527,655.892,1170.000,1170.000,1270.000,1270.000
2015-12-03 18:00:00,589.131,738.261,554.476,719.325,1865.000,,1906.429,
2015-12-03 19:00:00,753.434,835.795,757.066,814.578,1220.000,1220.000,1947.143,1947.143
2015-12-03 20:00:00,1006.111,1055.806,967.281,1005.329,2710.000,2710.000,2475.714,2475.714
2015-12-03 21:00:00,1125.504,1361.157,1083.112,1305.793,2770.000,2770.000,2533.571,2533.571
2015-12-03 22:00:00,1068.301,1534.152,1020.694,1465.655,1420.000,1420.000,1942.143,1942.143
2015-12-03 23:00:00,839.689,1503.757,858.620,1479.064,2690.000,2690.000,2327.143,2327.143
2015-12-04 00:00:00,0.000,765.838,0.000,1019.741,1220.000,1220.000,1197.143,1197.143
2015-12-04 01:00:00,268.122,467.667,264.526,572.695,490.000,490.000,687.143,
2015-12-04 02:00:00,306.037,460.437,214.958,496.220,690.000,,610.000,
2015-12-04 03:00:00,417.966,460.608,363.504,461.610,595.000,,559.286,
2015-12-04 04:00:00,401.457,436.087,329.423,427.176,650.000,,741.429,
2015-12-04 05:00:00,385.905,397.607,353.658,427.428,430.000,,387.143,
2015-12-04 06:00:00,397.322,396.779,346.310,393.232,410.000,,355.714,
2015-12-04 07:00:00,299.628,397.100,287.539,393.143,490.000,,475.714,
2015-12-04 08:00:00,351.349,399.366,332.888,396.862,310.000,,322.857,
2015-12-04 09:00:00,358.113,426.044,333.201,394.358,400.000,,358.571,
2015-12-04 10:00:00,372.132,426.355,363.303,397.380,280.000,,344.286,
2015-12-04 11:00:00,347.486,450.646,345.830,434.818,310.000,,317.143,
2015-12-04 12:00:00,391.697,567.338,314.907,452.497,330.000,,331.429,
2015-12-04 13:00:00,287.645,585.039,285.183,488.849,430.000,,334.286,
2015-12-04 14:00:00,461.085,664.973,414.718,512.653,300.000,,307.143,
2015-12-04 15:00:00,461.382,593.269,482.115,555.843,370.000,,538.571,
2015-12-04 16:00:00,540.478,649.327,523.444,601.321,700.000,,667.143,
2015-12-04 17:00:00,693.946,666.756,638.719,638.457,720.000,,687.143,
2015-12-04 18:00:00,815.289,749.768,777.809,726.320,810.000,810.000,825.714,
2015-12-04 19:00:00,943.915,841.772,932.684,840.886,890.000,890.000,961.429,961.429
2015-12-04 20:00:00,1125.892,974.538,1092.555,992.919,2210.000,2210.000,1557.143,1557.143
2015-12-04 21:00:00,1276.920,1291.850,1209.832,1255.972,1120.000,1120.000,1481.429,1481.429
2015-12-04 22:00:00,1403.447,1516.636,1317.505,1439.043,1480.000,1480.000,1432.857,1432.857
2015-12-04 23:00:00,1453.089,1194.863,1376.467,1119.047,1370.000,1370.000,1415.714,1415.714
2015-12-05 00:00:00,0.000,1591.579,0.000,1486.143,1610.000,1610.000,1610.000,1610.000
2015-12-05 01:00:00,187.769,567.898,235.632,558.434,1540.000,1540.000,1524.286,1524.286
2015-12-05 02:00:00,174.988,610.090,276.817,514.634,1220.000,1220.000,1158.571,
2015-12-05 03:00:00,400.655,467.514,395.109,450.354,1180.000,,1184.286,
2015-12-05 04:00:00,348.082,487.301,349.193,427.216,1080.000,,1111.429,
2015-12-05 05:00:00,346.453,465.459,339.469,426.201,1570.000,1570.000,1456.429,
2015-12-05 06:00:00,302.433,474.270,311.681,425.545,,,,
2015-12-05 07:00:00,271.972,492.753,278.292,420.909,,,,
2015-12-05 08:00:00,312.840,502.721,286.649,427.880,,,,
2015-12-05 09:00:00,215.007,492.158,232.305,438.730,,,,
2015-12-05 10:00:00,258.415,520.612,236.341,450.593,,,,
2015-12-05 11:00:00,260.313,511.725,227.571,469.811,,,,
2015-12-05 12:00:00,266.999,516.455,210.786,483.181,,,,
2015-12-05 13:00:00,253.888,473.819,216.226,516.556,,,,
2015-12-05 14:00:00,300.458,518.768,264.167,513.152,,,,
2015-12-05 15:00:00,373.219,662.938,352.901,593.231,,,,
2015-12-05 16:00:00,409.864,662.511,400.581,620.261,,,,
2015-12-05 17:00:00,521.791,678.219,504.273,639.231,,,,
2015-12-05 18:00:00,643.638,756.115,640.502,726.894,,,,
2015-12-05 19:00:00,896.281,853.933,850.043,814.723,,,,
2015-12-05 20:00:00,1071.286,984.937,1032.867,949.672,,,,
2015-12-05 21:00:00,1345.127,1180.358,1310.747,1138.355,,,,
2015-12-05 22:00:00,1585.445,1342.589,1548.487,1320.044,,,,
2015-12-05 23:00:00,1636.547,1390.894,1594.952,1304.899,,,,
2015-12-06 00:00:00,0.000,980.923,0.000,985.111,,,,
2015-12-06 01:00:00,81.139,522.561,146.499,486.960,,,,
2015-12-06 02:00:00,56.601,481.807,143.105,485.636,,,,
2015-12-06 03:00:00,356.071,456.947,373.037,428.202,,,,
2015-12-06 04:00:00,302.635,456.792,290.688,440.721,,,,
2015-12-06 05:00:00,323.229,459.401,301.358,468.989,,,,
2015-12-06 06:00:00,310.281,468.692,300.344,441.379,1210.000,1210.000,,
2015-12-06 07:00:00,258.314,502.397,259.216,462.087,820.000,820.000,828.571,
2015-12-06 08:00:00,270.241,452.954,260.240,441.732,380.000,,420.000,
2015-12-06 09:00:00,415.917,544.339,346.637,526.385,310.000,,334.286,
2015-12-06 10:00:00,405.315,554.597,364.274,493.617,330.000,,325.714,
2015-12-06 11:00:00,362.786,472.496,341.293,457.399,330.000,,330.000,
2015-12-06 12:00:00,354.090,618.901,326.157,501.791,340.000,,337.143,
2015-12-06 13:00:00,348.366,517.517,323.707,409.126,350.000,,345.714,
2015-12-06 14:00:00,357.492,470.426,330.509,427.690,350.000,,352.857,
2015-12-06 15:00:00,416.990,618.900,407.738,592.542,380.000,,375.714,
2015-12-06 16:00:00,592.948,688.973,551.994,666.518,410.000,,411.429,
2015-12-06 17:00:00,589.296,796.023,565.623,761.062,470.000,,475.714,
2015-12-06 18:00:00,660.505,835.100,635.330,809.200,620.000,,588.571,
2015-12-06 19:00:00,802.639,943.181,786.378,909.422,670.000,670.000,651.429,651.429
2015-12-06 20:00:00,1042.690,1139.172,1032.032,1112.306,680.000,680.000,668.571,668.571
2015-12-06 21:00:00,1207.966,1362.691,1167.606,1338.277,720.000,720.000,730.000,730.000
2015-12-06 22:00:00,1317.287,1573.745,1212.157,1518.641,1835.000,1835.000,1274.286,1274.286
2015-12-06 23:00:00,1303.667,1645.631,1200.170,1590.019,930.000,930.000,927.143,927.143
2015-12-07 00:00:00,0.000,1398.805,0.000,1274.596,1820.000,1820.000,1619.286,1619.286
2015-12-07 01:00:00,193.419,599.658,318.297,597.613,1410.000,1410.000,1571.429,
2015-12-07 02:00:00,521.311,461.738,465.585,444.504,1280.000,,1338.571,
2015-12-07 03:00:00,458.974,522.574,437.858,474.262,1290.000,,1388.571,
2015-12-07 04:00:00,461.201,432.964,409.644,454.216,610.000,610.000,1071.429,1071.429
2015-12-07 05:00:00,470.323,402.024,437.573,397.541,900.000,,862.857,
2015-12-07 06:00:00,453.099,369.182,417.303,354.381,880.000,,877.143,
2015-12-07 07:00:00,520.593,401.204,458.851,382.918,780.000,,785.714,
2015-12-07 08:00:00,565.151,435.704,546.744,391.092,720.000,,722.857,
2015-12-07 09:00:00,658.706,453.465,594.043,399.750,800.000,,775.714,
2015-12-07 10:00:00,660.061,491.837,572.363,405.234,760.000,,751.429,
2015-12-07 11:00:00,659.974,477.667,575.705,347.846,690.000,,690.000,
2015-12-07 12:00:00,481.792,347.615,435.339,271.841,670.000,,670.000,
2015-12-07 13:00:00,352.715,268.664,332.055,216.285,670.000,,668.571,
2015-12-07 14:00:00,352.073,252.517,329.529,195.796,670.000,,665.714,
2015-12-07 15:00:00,463.761,314.566,440.326,276.149,670.000,,671.429,
2015-12-07 16:00:00,537.555,377.221,515.615,365.113,720.000,720.000,715.714,
2015-12-07 17:00:00,664.699,483.473,629.117,461.404,780.000,780.000,790.000,790.000
2015-12-07 18:00:00,782.152,537.341,753.195,533.252,880.000,880.000,874.286,874.286
2015-12-07 19:00:00,854.077,690.137,825.592,667.797,930.000,930.000,1377.857,1377.857
2015-12-07 20:00:00,977.798,850.569,960.186,830.796,2115.000,2115.000,1852.143,1852.143
2015-12-07 21:00:00,1235.468,1066.775,1200.666,1039.130,1910.000,1910.000,1870.000,1870.000
2015-12-07 22:00:00,1393.886,1204.164,1330.401,1189.329,1850.000,1850.000,1901.429,1901.429
2015-12-07 23:00:00,1393.113,1170.936,1328.088,1211.269,2070.000,2070.000,1930.000,1930.000
2015-12-08 00:00:00,0.000,505.315,0.000,522.459,2060.000,2060.000,2060.000,2060.000
2015-12-08 01:00:00,58.293,259.238,75.636,219.112,780.000,780.000,1405.000,1405.000
2015-12-08 02:00:00,19.562,77.368,38.266,99.899,1450.000,1450.000,1388.571,1388.571
