,PBLH_24,PBLH_48,PBLH_avg_24,PBLH_avg_48,Raw,Filtered,Raw_mean,Filt_mean
2015-01-01 00:00:00,0.000,947.704,0.000,887.569,,,,
2015-01-01 01:00:00,171.111,529.372,164.272,507.325,,,,
2015-01-01 02:00:00,19.814,540.648,77.185,523.669,,,,
2015-01-01 03:00:00,19.755,421.791,198.639,451.613,,,,
2015-01-01 04:00:00,233.083,462.983,175.709,435.091,,,,
2015-01-01 05:00:00,236.526,461.370,185.314,426.580,,,,
2015-01-01 06:00:00,143.715,455.531,117.172,418.308,,,,
2015-01-01 07:00:00,115.385,395.467,108.272,432.266,,,,
2015-01-01 08:00:00,109.967,415.369,111.851,415.365,,,,
2015-01-01 09:00:00,85.245,363.906,76.250,373.796,,,,
2015-01-01 10:00:00,88.727,425.911,78.710,372.228,,,,
2015-01-01 11:00:00,116.729,480.026,122.793,395.850,,,,
2015-01-01 12:00:00,136.836,427.728,118.181,381.121,,,,
2015-01-01 13:00:00,170.962,385.213,123.619,362.672,,,,
2015-01-01 14:00:00,213.600,467.503,196.359,405.207,,,,
2015-01-01 15:00:00,309.855,503.297,260.980,449.489,,,,
2015-01-01 16:00:00,323.591,708.077,309.231,588.962,,,,
2015-01-01 17:00:00,402.630,854.195,415.226,737.991,,,,
2015-01-01 18:00:00,550.465,821.026,544.938,754.103,,,,
2015-01-01 19:00:00,676.417,813.537,643.650,798.708,,,,
2015-01-01 20:00:00,865.312,1052.379,843.383,986.941,,,,
2015-01-01 21:00:00,967.664,1155.438,942.124,1110.865,,,,
2015-01-01 22:00:00,1038.807,1344.160,997.040,1279.067,,,,
2015-01-01 23:00:00,1113.684,1482.425,1083.189,1381.645,,,,
2015-01-02 00:00:00,0.000,587.556,0.000,677.287,,,,
2015-01-02 01:00:00,174.282,359.468,175.306,390.395,,,,
2015-01-02 02:00:00,484.501,210.226,350.298,127.657,,,,
2015-01-02 03:00:00,406.485,51.212,347.809,181.982,,,,
2015-01-02 04:00:00,353.595,360.278,324.856,328.551,,,,
2015-01-02 05:00:00,403.074,352.391,327.548,246.188,,,,
2015-01-02 06:00:00,404.688,247.292,342.612,204.739,,,,
2015-01-02 07:00:00,367.881,213.723,332.613,181.076,,,,
2015-01-02 08:00:00,423.871,129.929,388.017,146.080,,,,
2015-01-02 09:00:00,450.202,56.699,376.644,108.813,,,,
2015-01-02 10:00:00,420.341,52.882,355.304,94.632,,,,
2015-01-02 11:00:00,413.587,53.604,356.603,88.881,,,,
2015-01-02 12:00:00,362.136,29.266,347.204,63.009,,,,
2015-01-02 13:00:00,434.199,19.413,389.268,41.875,,,,
2015-01-02 14:00:00,414.911,84.924,359.611,81.354,,,,
2015-01-02 15:00:00,418.864,331.323,377.064,329.063,,,,
2015-01-02 16:00:00,532.663,518.920,503.279,556.354,,,,
2015-01-02 17:00:00,706.809,762.550,675.720,793.399,,,,
2015-01-02 18:00:00,855.199,1204.417,824.589,1142.670,,,,
2015-01-02 19:00:00,998.369,1529.744,961.057,1405.354,,,,
2015-01-02 20:00:00,1086.398,1572.460,1114.986,1568.488,,,,
2015-01-02 21:00:00,931.249,1688.713,1051.340,1675.377,,,,
2015-01-02 22:00:00,958.697,1822.325,946.265,1623.430,,,,
2015-01-02 23:00:00,948.532,1232.818,855.765,1221.419,,,,
2015-01-03 00:00:00,0.000,829.780,0.000,808.148,,,,
2015-01-03 01:00:00,58.429,607.598,93.714,485.901,,,,
2015-01-03 02:00:00,19.741,448.641,115.006,430.642,,,,
2015-01-03 03:00:00,19.703,528.933,97.372,438.807,,,,
2015-01-03 04:00:00,310.364,543.068,210.404,407.187,,,,
2015-01-03 05:00:00,122.100,496.496,170.829,374.550,,,,
2015-01-03 06:00:00,62.602,395.935,92.635,306.736,,,,
2015-01-03 07:00:00,137.588,312.986,92.953,282.421,,,,
2015-01-03 08:00:00,147.696,286.423,80.205,296.655,,,,
2015-01-03 09:00:00,185.494,275.560,74.245,266.837,,,,
2015-01-03 10:00:00,165.760,292.164,74.123,289.131,,,,
2015-01-03 11:00:00,104.564,319.783,45.532,298.859,,,,
2015-01-03 12:00:00,61.210,466.497,43.084,304.445,,,,
2015-01-03 13:00:00,62.599,282.528,40.663,216.912,,,,
2015-01-03 14:00:00,88.403,223.942,76.370,197.928,,,,
2015-01-03 15:00:00,200.102,591.581,225.823,491.740,,,,
2015-01-03 16:00:00,417.001,701.347,441.624,655.444,,,,
2015-01-03 17:00:00,743.961,855.765,767.774,834.939,,,,
2015-01-03 18:00:00,1230.584,1096.031,1106.995,1029.432,,,,
2015-01-03 19:00:00,1388.149,1273.722,1286.900,1253.099,,,,
2015-01-03 20:00:00,1502.047,1464.738,1367.990,1364.830,,,,
2015-01-03 21:00:00,1573.414,1306.062,1533.812,1210.696,,,,
2015-01-03 22:00:00,1477.290,1274.734,1422.173,1171.632,,,,
2015-01-03 23:00:00,1246.710,625.448,974.290,717.670,,,,
2015-01-04 00:00:00,0.000,405.994,0.000,433.888,,,,
2015-01-04 01:00:00,58.053,346.928,106.401,360.991,,,,
2015-01-04 02:00:00,115.927,454.391,121.843,388.158,,,,
2015-01-04 03:00:00,36.022,268.227,239.706,252.577,,,,
2015-01-04 04:00:00,297.826,218.976,227.065,217.882,,,,
2015-01-04 05:00:00,201.779,289.037,176.117,209.430,,,,
2015-01-04 06:00:00,259.420,63.329,189.564,95.024,,,,
2015-01-04 07:00:00,318.606,44.113,250.613,54.247,,,,
2015-01-04 08:00:00,408.404,55.178,309.381,66.293,,,,
2015-01-04 09:00:00,382.846,63.742,304.252,99.972,,,,
2015-01-04 10:00:00,367.248,173.659,255.271,153.539,,,,
2015-01-04 11:00:00,252.578,179.037,180.675,146.944,,,,
2015-01-04 12:00:00,270.404,183.816,207.299,150.291,,,,
2015-01-04 13:00:00,69.754,216.422,142.576,179.176,,,,
2015-01-04 14:00:00,359.821,211.138,205.175,189.121,,,,
2015-01-04 15:00:00,358.048,302.693,364.555,288.760,,,,
2015-01-04 16:00:00,477.025,408.134,463.087,405.463,,,,
2015-01-04 17:00:00,608.297,597.634,628.185,572.865,,,,
2015-01-04 18:00:00,702.643,940.882,758.337,906.834,,,,
2015-01-04 19:00:00,1082.293,1376.445,1037.459,1313.398,,,,
2015-01-04 20:00:00,1243.031,1619.412,1239.099,1589.184,,,,
2015-01-04 21:00:00,655.655,1668.616,812.057,1730.389,,,,
2015-01-04 22:00:00,545.510,1950.103,563.614,1882.490,,,,
2015-01-04 23:00:00,524.568,1841.983,569.850,1654.969,,,,
2015-01-05 00:00:00,0.000,676.121,0.000,863.240,,,,
2015-01-05 01:00:00,263.482,526.398,322.337,416.874,,,,
2015-01-05 02:00:00,348.092,254.511,395.019,248.786,,,,
2015-01-05 03:00:00,353.307,106.940,363.207,106.469,,,,
2015-01-05 04:00:00,440.272,54.210,357.502,80.523,,,,
2015-01-05 05:00:00,274.028,56.717,280.465,66.727,,,,
2015-01-05 06:00:00,37.408,58.145,111.137,69.406,,,,
2015-01-05 07:00:00,57.735,55.663,65.073,44.831,,,,
2015-01-05 08:00:00,158.335,43.720,87.916,42.960,,,,
2015-01-05 09:00:00,140.441,44.170,99.642,45.962,,,,
2015-01-05 10:00:00,103.369,37.992,72.720,54.287,,,,
2015-01-05 11:00:00,69.263,61.433,49.923,48.492,,,,
2015-01-05 12:00:00,88.910,37.850,56.081,39.595,,,,
2015-01-05 13:00:00,58.457,37.421,54.438,42.748,,,,
2015-01-05 14:00:00,31.898,37.276,55.303,43.608,,,,
2015-01-05 15:00:00,297.674,279.966,304.619,306.709,,,,
2015-01-05 16:00:00,526.036,704.013,523.101,676.029,,,,
2015-01-05 17:00:00,807.060,1002.946,807.956,1044.333,,,,
2015-01-05 18:00:00,1122.823,1229.171,1146.402,1264.126,,,,
2015-01-05 19:00:00,1762.389,1565.547,1670.544,1586.339,,,,
2015-01-05 20:00:00,2036.838,1808.584,1908.997,1791.933,,,,
2015-01-05 21:00:00,2171.877,2101.309,2025.900,1990.240,,,,
2015-01-05 22:00:00,2273.496,2056.651,2104.491,1898.093,,,,
2015-01-05 23:00:00,971.066,1904.471,1339.237,1675.801,,,,
2015-01-06 00:00:00,0.000,945.666,0.000,890.755,,,,
2015-01-06 01:00:00,58.310,611.105,82.198,498.257,,,,
2015-01-06 02:00:00,109.215,349.178,81.341,427.859,,,,
2015-01-06 03:00:00,83.612,233.186,167.239,224.216,,,,
2015-01-06 04:00:00,19.434,115.886,144.178,127.316,,,,
